Time(s),Comp_Power(W),Temperature(℃),SOH_Loss(%)
0.000000000000000000e+00,0.000000000000000000e+00,2.505351079876134079e+01,-4.820351023226976395e-06
1.000000000000000000e+00,0.000000000000000000e+00,2.506689827380261093e+01,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,2.506758565854710241e+01,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,2.507390036511247544e+01,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,2.508462130702744375e+01,0.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00,2.509070113104699118e+01,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00,2.509921537443899808e+01,0.000000000000000000e+00
7.000000000000000000e+00,0.000000000000000000e+00,2.508728490615623841e+01,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,2.508627077673871497e+01,0.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00,2.509972933595889089e+01,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00,2.509681268927465325e+01,0.000000000000000000e+00
1.100000000000000000e+01,0.000000000000000000e+00,2.509107631682089590e+01,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00,2.510855154246672782e+01,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00,2.510899134550083289e+01,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00,2.510676888650048255e+01,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00,2.510826499525332167e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00,2.512197883145952915e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00,2.511636997786742143e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00,2.511394050852736370e+01,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00,2.510650482571732667e+01,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00,2.511072123112248988e+01,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00,2.510671039322994247e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00,2.510645672456496413e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00,2.508578615235793308e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00,2.509123409814669259e+01,0.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00,2.507164265888287957e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00,2.508444190081599245e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00,2.508999241104342914e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00,2.509693935234569295e+01,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00,2.510132279233832264e+01,0.000000000000000000e+00
