Time(s),Control_Sequence,Temperature(℃),SOH_Loss,Target_Power
1.000000000000000000e+00,2.505765877728964863e-01,2.506355661160686310e+01,-4.820700269192457199e-06,9.533117546168505214e+02
2.000000000000000000e+00,3.835465049058625064e-01,2.509179098471201286e+01,0.000000000000000000e+00,9.460261490066768602e+02
3.000000000000000000e+00,4.622879097402851079e-01,2.510505881496036196e+01,0.000000000000000000e+00,9.357595411876391154e+02
4.000000000000000000e+00,5.107293496514125897e-01,2.511502564188490183e+01,0.000000000000000000e+00,9.218696431458520237e+02
5.000000000000000000e+00,5.411075226828900853e-01,2.511957441394210377e+01,0.000000000000000000e+00,9.050628018580609933e+02
6.000000000000000000e+00,5.603954830287228850e-01,2.513218368611882170e+01,0.000000000000000000e+00,8.848188030791061465e+02
7.000000000000000000e+00,5.727704466300145292e-01,2.512549445294190420e+01,0.000000000000000000e+00,8.616891966249095276e+02
8.000000000000000000e+00,5.808030662495756724e-01,2.510964841903000533e+01,0.000000000000000000e+00,8.349050948713847902e+02
9.000000000000000000e+00,5.860980246446971798e-01,2.511244760781407592e+01,0.000000000000000000e+00,8.047810157672502100e+02
1.000000000000000000e+01,5.896661748618214904e-01,2.512196104556613108e+01,0.000000000000000000e+00,7.714973927375976928e+02
1.100000000000000000e+01,5.668418793523060106e-01,2.512925444058620172e+01,0.000000000000000000e+00,7.344461560461495537e+02
1.200000000000000000e+01,5.600790453956587811e-01,2.513832002026251544e+01,0.000000000000000000e+00,6.945012962952023372e+02
1.300000000000000000e+01,5.578980206391839225e-01,2.513102282816814537e+01,0.000000000000000000e+00,6.520595692594361026e+02
1.400000000000000000e+01,5.572379543718626316e-01,2.512359719911534484e+01,0.000000000000000000e+00,6.056207364776055329e+02
1.500000000000000000e+01,5.571386471784594008e-01,2.511178320068506764e+01,0.000000000000000000e+00,5.556883623991743661e+02
1.600000000000000000e+01,5.572725265186155852e-01,2.511346459700034472e+01,0.000000000000000000e+00,5.032616194704314694e+02
1.700000000000000000e+01,5.575220716657681708e-01,2.511145927712030002e+01,0.000000000000000000e+00,4.474013895086245611e+02
1.800000000000000000e+01,5.578447903063340485e-01,2.510135139970375562e+01,0.000000000000000000e+00,3.881922997258661781e+02
1.900000000000000000e+01,5.582238958172761611e-01,2.512326360184012231e+01,0.000000000000000000e+00,3.262972259261878207e+02
2.000000000000000000e+01,5.586521501105604637e-01,2.512846298023250924e+01,0.000000000000000000e+00,2.614999800242367201e+02
2.100000000000000000e+01,5.475393684077858314e-01,2.511790116921576654e+01,0.000000000000000000e+00,1.948788784030184615e+02
2.200000000000000000e+01,5.480077456396039715e-01,2.513340486378127281e+01,0.000000000000000000e+00,1.247089058559504338e+02
2.300000000000000000e+01,5.502864326243022131e-01,2.513680299298759024e+01,0.000000000000000000e+00,5.194843559537548572e+01
2.400000000000000000e+01,5.524107738907566567e-01,2.512572262293410574e+01,0.000000000000000000e+00,-2.537260502899880521e+01
2.500000000000000000e+01,5.540658020350360813e-01,2.512920110577385557e+01,0.000000000000000000e+00,-1.053154586952005047e+02
2.600000000000000000e+01,5.553115972233253483e-01,2.513195239338834952e+01,0.000000000000000000e+00,-1.889983725507336203e+02
2.700000000000000000e+01,5.562685778199868425e-01,2.513234100852243458e+01,0.000000000000000000e+00,-2.739893359118723311e+02
2.800000000000000000e+01,5.570425008606889605e-01,2.515403323503053912e+01,0.000000000000000000e+00,-3.617648653709911741e+02
2.900000000000000000e+01,5.577098565367478722e-01,2.516851708779433139e+01,0.000000000000000000e+00,-4.527225791169912554e+02
3.000000000000000000e+01,5.583224668028261561e-01,2.517097581079178070e+01,0.000000000000000000e+00,-5.448871828073170036e+02
3.100000000000000000e+01,5.813886070704122888e-01,2.517464575798896220e+01,-4.820700269192457199e-06,-6.419035791414789855e+02
3.200000000000000000e+01,6.038196220604858944e-01,2.519013051171120310e+01,0.000000000000000000e+00,-7.413781375144317281e+02
3.300000000000000000e+01,6.198599327780509594e-01,2.519979649752557549e+01,0.000000000000000000e+00,-8.431737276085186750e+02
3.400000000000000000e+01,6.306505961445242336e-01,2.520916656154329516e+01,0.000000000000000000e+00,-9.466449030204967130e+02
3.500000000000000000e+01,6.377946112810711776e-01,2.519770374148754399e+01,0.000000000000000000e+00,-1.052823672288242960e+03
3.600000000000000000e+01,6.425313479023324614e-01,2.518556746722533290e+01,0.000000000000000000e+00,-1.160905746529664611e+03
3.700000000000000000e+01,6.457147033923728019e-01,2.518384827099908918e+01,0.000000000000000000e+00,-1.271896794577420224e+03
3.800000000000000000e+01,6.479111590508405127e-01,2.518062505605513479e+01,0.000000000000000000e+00,-1.385583804201713065e+03
3.900000000000000000e+01,6.494886021838121026e-01,2.519943969300589259e+01,0.000000000000000000e+00,-1.500567132141150068e+03
4.000000000000000000e+01,6.506839996451909691e-01,2.519603933808601326e+01,0.000000000000000000e+00,-1.617643040679540718e+03
4.100000000000000000e+01,6.052207098379502881e-01,2.520854391756643409e+01,0.000000000000000000e+00,-1.736815070005890448e+03
4.200000000000000000e+01,5.842076832815313869e-01,2.519594512392454888e+01,0.000000000000000000e+00,-1.858772291065193713e+03
4.300000000000000000e+01,5.731553424655660978e-01,2.518719339079176578e+01,0.000000000000000000e+00,-1.982116475486836862e+03
4.400000000000000000e+01,5.669291649054581939e-01,2.518776030988068015e+01,0.000000000000000000e+00,-2.107028769830183592e+03
4.500000000000000000e+01,5.633131488949628674e-01,2.520254348661155319e+01,0.000000000000000000e+00,-2.233785480893508065e+03
4.600000000000000000e+01,5.612144680705095645e-01,2.521166620194020425e+01,0.000000000000000000e+00,-2.361751407703006407e+03
4.700000000000000000e+01,5.600422112126737240e-01,2.520411491908615176e+01,0.000000000000000000e+00,-2.491591340104991104e+03
4.800000000000000000e+01,5.594575917846852375e-01,2.523122558600019971e+01,0.000000000000000000e+00,-2.623004478002054384e+03
4.900000000000000000e+01,5.592568845643083320e-01,2.524154368067470955e+01,0.000000000000000000e+00,-2.757064429807767738e+03
5.000000000000000000e+01,5.593142862504105750e-01,2.527117479146054890e+01,0.000000000000000000e+00,-2.892378805695771007e+03
5.100000000000000000e+01,5.479526306744310071e-01,2.526958823106542695e+01,0.000000000000000000e+00,-3.028185801606043242e+03
5.200000000000000000e+01,5.482695387235512197e-01,2.526760392842410141e+01,0.000000000000000000e+00,-3.165821972417295910e+03
5.300000000000000000e+01,5.504551584945374110e-01,2.527567032029355687e+01,0.000000000000000000e+00,-3.304087848178722197e+03
5.400000000000000000e+01,5.525214888556866377e-01,2.527633309621865720e+01,0.000000000000000000e+00,-3.444608833472040715e+03
5.500000000000000000e+01,5.541399601651582074e-01,2.528964773030425306e+01,0.000000000000000000e+00,-3.585052121390763205e+03
5.600000000000000000e+01,5.553625275758924396e-01,2.530704254942578402e+01,0.000000000000000000e+00,-3.726596927205100656e+03
5.700000000000000000e+01,5.563046421595901903e-01,2.530706446447752000e+01,0.000000000000000000e+00,-3.869732485307293246e+03
5.800000000000000000e+01,5.570689744149442957e-01,2.533299537853214289e+01,0.000000000000000000e+00,-4.012876475606171880e+03
5.900000000000000000e+01,5.577300777987457270e-01,2.535983293459599963e+01,0.000000000000000000e+00,-4.156029391006770311e+03
6.000000000000000000e+01,5.583385508628240235e-01,2.537226890194713391e+01,0.000000000000000000e+00,-4.302134883086953778e+03
6.100000000000000000e+01,4.935335799286950098e-01,2.539432718083498841e+01,-4.820700269192457199e-06,-4.448099188813648652e+03
6.200000000000000000e+01,4.567621976843870835e-01,2.542503641875538989e+01,0.000000000000000000e+00,-4.595051982817269163e+03
6.300000000000000000e+01,4.349047199932211671e-01,2.544059263170341367e+01,0.000000000000000000e+00,-4.741399096180073684e+03
6.400000000000000000e+01,4.215779074839328677e-01,2.545555833055398764e+01,0.000000000000000000e+00,-4.888111184599052649e+03
6.500000000000000000e+01,4.133647663255831106e-01,2.547951740056911518e+01,0.000000000000000000e+00,-5.035574216913344571e+03
6.600000000000000000e+01,4.083086231220758311e-01,2.548118682596635409e+01,0.000000000000000000e+00,-5.182669074871868361e+03
6.700000000000000000e+01,4.052394567472796250e-01,2.549541059095345474e+01,0.000000000000000000e+00,-5.329677131627453491e+03
6.800000000000000000e+01,4.034399218794747499e-01,2.549929474986494071e+01,0.000000000000000000e+00,-5.477263620278885355e+03
6.900000000000000000e+01,4.024615376879921436e-01,2.552299608163907507e+01,0.000000000000000000e+00,-5.624636721206567017e+03
7.000000000000000000e+01,4.020211152568292645e-01,2.553087193174877001e+01,0.000000000000000000e+00,-5.772237345380941406e+03
7.100000000000000000e+01,6.891208914668663965e+01,2.553382343948075928e+01,0.000000000000000000e+00,-5.918740318440395640e+03
7.200000000000000000e+01,1.443153228363275673e+02,2.555599825128443570e+01,0.000000000000000000e+00,-6.065409806527575711e+03
7.300000000000000000e+01,2.341522680809291899e+02,2.556722299295248391e+01,0.000000000000000000e+00,-6.212181535337149398e+03
7.400000000000000000e+01,3.474068615512452425e+02,2.559499743635198854e+01,0.000000000000000000e+00,-6.357468342805048451e+03
7.500000000000000000e+01,4.954048614374310091e+02,2.560001904495588576e+01,0.000000000000000000e+00,-6.502212910004978767e+03
7.600000000000000000e+01,6.929464669403051857e+02,2.559162954011040725e+01,0.000000000000000000e+00,-6.646458894391078502e+03
7.700000000000000000e+01,8.053900153198925409e+02,2.555842172367094989e+01,0.000000000000000000e+00,-6.789510346742754336e+03
