Time(s),Comp_Power(W),Temperature(℃),SOH_Loss(%)
0.000000000000000000e+00,0.000000000000000000e+00,2.506401115972554905e+01,-4.820700269192457199e-06
1.000000000000000000e+00,0.000000000000000000e+00,2.508895040058670034e+01,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,2.509951142276894487e+01,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,2.510476799575286933e+01,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,2.510806092706229364e+01,0.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00,2.511061905293682273e+01,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00,2.511289416478458136e+01,0.000000000000000000e+00
7.000000000000000000e+00,0.000000000000000000e+00,2.511505130049105716e+01,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,2.511715061295303641e+01,0.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00,2.511921391467122078e+01,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00,2.512124874749487446e+01,0.000000000000000000e+00
1.100000000000000000e+01,0.000000000000000000e+00,2.512325840969736745e+01,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00,2.512524489173959097e+01,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00,2.512720920228591481e+01,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00,2.512915297429255190e+01,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00,2.513107868897995090e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00,2.513298902894840836e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00,2.513488736036851279e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00,2.513677779216321184e+01,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00,2.513866498777190372e+01,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00,2.514055415342597044e+01,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00,2.514245113875688276e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00,2.514436237214167491e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00,2.514629552117151334e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00,2.514825855273683786e+01,0.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00,2.515026063226467556e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00,2.515231036280159316e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00,2.515441765580795064e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00,2.515659341981799102e+01,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00,2.515884755855313060e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00,2.516119388323242845e+01,-4.820700269192457199e-06
3.100000000000000000e+01,0.000000000000000000e+00,2.516364483569450528e+01,0.000000000000000000e+00
3.200000000000000000e+01,0.000000000000000000e+00,2.516621328493176790e+01,0.000000000000000000e+00
3.300000000000000000e+01,0.000000000000000000e+00,2.516891179223679842e+01,0.000000000000000000e+00
3.400000000000000000e+01,0.000000000000000000e+00,2.517175473941231090e+01,0.000000000000000000e+00
3.500000000000000000e+01,0.000000000000000000e+00,2.517475592828858311e+01,0.000000000000000000e+00
3.600000000000000000e+01,0.000000000000000000e+00,2.517793121766811026e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00,2.518129680477144205e+01,0.000000000000000000e+00
3.800000000000000000e+01,0.000000000000000000e+00,2.518486693730711323e+01,0.000000000000000000e+00
3.900000000000000000e+01,0.000000000000000000e+00,2.518865763359830012e+01,0.000000000000000000e+00
4.000000000000000000e+01,0.000000000000000000e+00,2.519268536114287826e+01,0.000000000000000000e+00
