Time(s),Comp_Power(W),Temperature(℃),SOH_Loss(%)
0.000000000000000000e+00,0.000000000000000000e+00,2.501346960507124706e+01,-4.820351023226976395e-06
1.000000000000000000e+00,0.000000000000000000e+00,2.500845403474039941e+01,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,2.501147636584127198e+01,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,2.501119998021288282e+01,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,2.500299201884539713e+01,0.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00,2.500207733267705734e+01,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00,2.500191113350578931e+01,0.000000000000000000e+00
7.000000000000000000e+00,0.000000000000000000e+00,2.500265300993295980e+01,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,2.499680922353267931e+01,0.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00,2.499672502826551579e+01,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00,2.500050951624210427e+01,0.000000000000000000e+00
1.100000000000000000e+01,0.000000000000000000e+00,2.500452592733001467e+01,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00,2.499584323931456353e+01,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00,2.500380193482987679e+01,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00,2.499165554131139899e+01,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00,2.500076223502864892e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00,2.502396315106824787e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00,2.501029999714559438e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00,2.499994278446432361e+01,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00,2.498529853541624490e+01,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00,2.499768985368437768e+01,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00,2.500175029376599767e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00,2.500441984848213650e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00,2.500775142389176509e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00,2.501052884074856308e+01,0.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00,2.503322035700254844e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00,2.503910353399627198e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00,2.504579693439129784e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00,2.503857149776812463e+01,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00,2.504142206044054930e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00,2.505578847312723312e+01,-4.820351023226976395e-06
3.100000000000000000e+01,0.000000000000000000e+00,2.505081245664010225e+01,0.000000000000000000e+00
3.200000000000000000e+01,0.000000000000000000e+00,2.504711138828260175e+01,0.000000000000000000e+00
