Time(s),Control_Sequence,Temperature(℃),SOH_Loss,Target_Power
1.000000000000000000e+00,2.828449657779923826e-02,2.502343086993326438e+01,-4.820700269192457199e-06,2.087155745000070601e+04
2.000000000000000000e+00,4.861950796715992090e-02,2.501643721608069981e+01,0.000000000000000000e+00,2.086262920698066591e+04
3.000000000000000000e+00,6.465175327734118405e-02,2.500818770067089147e+01,0.000000000000000000e+00,2.084664843425608706e+04
4.000000000000000000e+00,7.772911646884282655e-02,2.501359775585000733e+01,0.000000000000000000e+00,2.082400766366466996e+04
5.000000000000000000e+00,8.858828279230604452e-02,2.502249211510956783e+01,0.000000000000000000e+00,2.079636895783616637e+04
6.000000000000000000e+00,9.811315193828193393e-02,2.502391764877078018e+01,0.000000000000000000e+00,2.076241614882991416e+04
7.000000000000000000e+00,1.069193785139992275e-01,2.502206839370494862e+01,0.000000000000000000e+00,2.072290531282337906e+04
8.000000000000000000e+00,1.146897101905927641e-01,2.499784781229198671e+01,0.000000000000000000e+00,2.067739129455828515e+04
9.000000000000000000e+00,1.214474973969557198e-01,2.499361287303431567e+01,0.000000000000000000e+00,2.062473061533384316e+04
1.000000000000000000e+01,1.272960560118215345e-01,2.499277588191880639e+01,0.000000000000000000e+00,2.056793842733047495e+04
1.100000000000000000e+01,1.340824993362211559e-01,2.498374307978830089e+01,0.000000000000000000e+00,2.050430379443988204e+04
1.200000000000000000e+01,1.408532614290551876e-01,2.499627005578251726e+01,0.000000000000000000e+00,2.043441657416465750e+04
1.300000000000000000e+01,1.470858640263297545e-01,2.500111126547810159e+01,0.000000000000000000e+00,2.035968445529915334e+04
1.400000000000000000e+01,1.526502797699862968e-01,2.501642784147918519e+01,0.000000000000000000e+00,2.027850551849731710e+04
1.500000000000000000e+01,1.575509957449772735e-01,2.502927151240573167e+01,0.000000000000000000e+00,2.019087017305826885e+04
1.600000000000000000e+01,1.550582221255431270e-01,2.500036040359604783e+01,0.000000000000000000e+00,2.009854922179231653e+04
1.700000000000000000e+01,1.535490389059044614e-01,2.502395269543333001e+01,0.000000000000000000e+00,2.000004992964855046e+04
1.800000000000000000e+01,1.526519086680251380e-01,2.501676678686075306e+01,0.000000000000000000e+00,1.989608124627103098e+04
1.900000000000000000e+01,1.521308337407449862e-01,2.502336768164656888e+01,0.000000000000000000e+00,1.978568089600278472e+04
2.000000000000000000e+01,1.518430214427378688e-01,2.503115313800187636e+01,0.000000000000000000e+00,1.967041527929969016e+04
2.100000000000000000e+01,1.501232088120683927e-01,2.502695380216651344e+01,0.000000000000000000e+00,1.954923379242417286e+04
2.200000000000000000e+01,1.493005606430909404e-01,2.502181892352352222e+01,0.000000000000000000e+00,1.942247860317300365e+04
2.300000000000000000e+01,1.489977579182921730e-01,2.501941659197548873e+01,0.000000000000000000e+00,1.929106990777746250e+04
2.400000000000000000e+01,1.489866426597260540e-01,2.500237232988384051e+01,0.000000000000000000e+00,1.915328142803171067e+04
2.500000000000000000e+01,1.491353828738043730e-01,2.500285535338664644e+01,0.000000000000000000e+00,1.901100589201369439e+04
2.600000000000000000e+01,1.510468321616487974e-01,2.500007653323699586e+01,0.000000000000000000e+00,1.886386753895117727e+04
2.700000000000000000e+01,1.535822436533806623e-01,2.498573736015741886e+01,0.000000000000000000e+00,1.871087416956476227e+04
2.800000000000000000e+01,1.562424858575613418e-01,2.500299826154146388e+01,0.000000000000000000e+00,1.855320519682460872e+04
2.900000000000000000e+01,1.588025606692060332e-01,2.498102348633381453e+01,0.000000000000000000e+00,1.838885076704181847e+04
3.000000000000000000e+01,1.611692250423612804e-01,2.499504527574234913e+01,0.000000000000000000e+00,1.821992179231400951e+04
3.100000000000000000e+01,1.613546202695012866e-01,2.500776827786776479e+01,-4.820700269192457199e-06,1.804571820650543668e+04
3.200000000000000000e+01,1.623833032771129503e-01,2.500308540645363209e+01,0.000000000000000000e+00,1.786733563557543675e+04
3.300000000000000000e+01,1.637634422356935848e-01,2.501437143493498994e+01,0.000000000000000000e+00,1.768423390348767862e+04
3.400000000000000000e+01,1.652413895552063694e-01,2.501999918732913031e+01,0.000000000000000000e+00,1.749765432425621839e+04
3.500000000000000000e+01,1.666921865406942871e-01,2.501556709655243083e+01,0.000000000000000000e+00,1.730471594563726103e+04
3.600000000000000000e+01,1.698945392079349304e-01,2.503085768347929729e+01,0.000000000000000000e+00,1.710673067278857343e+04
3.700000000000000000e+01,1.737352677255376565e-01,2.503394409774860918e+01,0.000000000000000000e+00,1.690544178999170254e+04
3.800000000000000000e+01,1.775993514201734125e-01,2.502226897420032614e+01,0.000000000000000000e+00,1.669992886196443578e+04
3.900000000000000000e+01,1.812328788350661135e-01,2.502663066000166481e+01,0.000000000000000000e+00,1.648959592539636651e+04
4.000000000000000000e+01,1.845430669798892587e-01,2.503310857021304159e+01,0.000000000000000000e+00,1.627458278658540803e+04
4.100000000000000000e+01,1.815031075137608640e-01,2.501892039752522834e+01,0.000000000000000000e+00,1.605494893250394671e+04
4.200000000000000000e+01,1.796798010251176858e-01,2.502864254123293009e+01,0.000000000000000000e+00,1.583167085359149496e+04
4.300000000000000000e+01,1.786060519028933313e-01,2.504349390228667360e+01,0.000000000000000000e+00,1.560415080633593607e+04
4.400000000000000000e+01,1.779893013171323646e-01,2.502304285398826877e+01,0.000000000000000000e+00,1.537361313951585907e+04
4.500000000000000000e+01,1.776541976320619443e-01,2.503438020770522598e+01,0.000000000000000000e+00,1.513930746924200503e+04
4.600000000000000000e+01,1.758523271913234876e-01,2.503613844824321433e+01,0.000000000000000000e+00,1.490135380338017421e+04
4.700000000000000000e+01,1.751446984465102608e-01,2.504549385681130502e+01,0.000000000000000000e+00,1.465978955383069115e+04
4.800000000000000000e+01,1.750442341931443546e-01,2.504532129315898104e+01,0.000000000000000000e+00,1.441541280800657114e+04
4.900000000000000000e+01,1.752665919231505276e-01,2.503973030128878818e+01,0.000000000000000000e+00,1.416663097890451900e+04
5.000000000000000000e+01,1.756521970591489734e-01,2.502674904780348442e+01,0.000000000000000000e+00,1.391418600404422614e+04
5.100000000000000000e+01,1.682655942238166502e-01,2.503135672173754145e+01,0.000000000000000000e+00,1.365921305770201434e+04
