Time(s),Comp_Power(W),Temperature(℃),SOH_Loss(%)
0.000000000000000000e+00,0.000000000000000000e+00,2.500999358548703455e+01,1.572564430534839630e-02
1.000000000000000000e+00,0.000000000000000000e+00,2.501495277462692357e+01,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,2.502939834737642499e+01,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,2.503907363979066858e+01,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,2.505372007905802789e+01,0.000000000000000000e+00
5.000000000000000000e+00,0.000000000000000000e+00,2.506195747986680544e+01,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00,2.506932921131610215e+01,0.000000000000000000e+00
7.000000000000000000e+00,0.000000000000000000e+00,2.506526367230362595e+01,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,2.506920035130086433e+01,0.000000000000000000e+00
9.000000000000000000e+00,0.000000000000000000e+00,2.510801881928139423e+01,0.000000000000000000e+00
1.000000000000000000e+01,0.000000000000000000e+00,2.510378708353228205e+01,0.000000000000000000e+00
1.100000000000000000e+01,0.000000000000000000e+00,2.510158507043367493e+01,0.000000000000000000e+00
1.200000000000000000e+01,0.000000000000000000e+00,2.510545935443087728e+01,0.000000000000000000e+00
1.300000000000000000e+01,0.000000000000000000e+00,2.511316958687671885e+01,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00,2.511984330399367238e+01,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00,2.514192043367712515e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00,2.513565963888145660e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00,2.514384698204465352e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00,2.514277046515857350e+01,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00,2.514592085379596753e+01,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00,2.515916996753997381e+01,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00,2.515521131582751124e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00,2.518160078044774508e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00,2.519605323220995530e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00,2.519187784644405426e+01,0.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00,2.520870392037481267e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00,2.522382209163516364e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00,2.525006173858532321e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00,2.526909866763489632e+01,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00,2.528700950780421408e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00,2.528951340019394678e+01,1.691411947831511497e-03
3.100000000000000000e+01,0.000000000000000000e+00,2.529917109492149052e+01,0.000000000000000000e+00
3.200000000000000000e+01,0.000000000000000000e+00,2.530476973923872208e+01,0.000000000000000000e+00
3.300000000000000000e+01,0.000000000000000000e+00,2.532588076523726528e+01,0.000000000000000000e+00
3.400000000000000000e+01,0.000000000000000000e+00,2.533423660843377689e+01,0.000000000000000000e+00
3.500000000000000000e+01,0.000000000000000000e+00,2.534938331744722717e+01,0.000000000000000000e+00
3.600000000000000000e+01,0.000000000000000000e+00,2.534734455660078822e+01,0.000000000000000000e+00
3.700000000000000000e+01,0.000000000000000000e+00,2.536140437954820115e+01,0.000000000000000000e+00
3.800000000000000000e+01,0.000000000000000000e+00,2.537862919431885089e+01,0.000000000000000000e+00
3.900000000000000000e+01,0.000000000000000000e+00,2.536720708037192651e+01,0.000000000000000000e+00
4.000000000000000000e+01,0.000000000000000000e+00,2.537837587396589356e+01,0.000000000000000000e+00
4.100000000000000000e+01,0.000000000000000000e+00,2.538548222801598442e+01,0.000000000000000000e+00
4.200000000000000000e+01,0.000000000000000000e+00,2.538919034096463534e+01,0.000000000000000000e+00
4.300000000000000000e+01,0.000000000000000000e+00,2.540485408418731694e+01,0.000000000000000000e+00
4.400000000000000000e+01,0.000000000000000000e+00,2.541432175093398982e+01,0.000000000000000000e+00
4.500000000000000000e+01,0.000000000000000000e+00,2.543107220926582812e+01,0.000000000000000000e+00
4.600000000000000000e+01,0.000000000000000000e+00,2.543869310086408220e+01,0.000000000000000000e+00
4.700000000000000000e+01,0.000000000000000000e+00,2.545771402905485914e+01,0.000000000000000000e+00
4.800000000000000000e+01,0.000000000000000000e+00,2.547428277649433426e+01,0.000000000000000000e+00
4.900000000000000000e+01,0.000000000000000000e+00,2.549115084465973524e+01,0.000000000000000000e+00
5.000000000000000000e+01,0.000000000000000000e+00,2.551981321225538935e+01,0.000000000000000000e+00
5.100000000000000000e+01,0.000000000000000000e+00,2.552764214945703003e+01,0.000000000000000000e+00
5.200000000000000000e+01,0.000000000000000000e+00,2.553394962316372485e+01,0.000000000000000000e+00
5.300000000000000000e+01,0.000000000000000000e+00,2.555253542247290000e+01,0.000000000000000000e+00
5.400000000000000000e+01,0.000000000000000000e+00,2.555441218046627938e+01,0.000000000000000000e+00
5.500000000000000000e+01,0.000000000000000000e+00,2.556905540601989557e+01,0.000000000000000000e+00
5.600000000000000000e+01,0.000000000000000000e+00,2.557704415274730536e+01,0.000000000000000000e+00
5.700000000000000000e+01,0.000000000000000000e+00,2.560218482726544309e+01,0.000000000000000000e+00
5.800000000000000000e+01,0.000000000000000000e+00,2.561511843731771876e+01,0.000000000000000000e+00
5.900000000000000000e+01,0.000000000000000000e+00,2.562850264889394225e+01,0.000000000000000000e+00
6.000000000000000000e+01,0.000000000000000000e+00,2.563796810386045166e+01,1.078067068010568619e-02
6.100000000000000000e+01,0.000000000000000000e+00,2.565692122371198636e+01,0.000000000000000000e+00
6.200000000000000000e+01,0.000000000000000000e+00,2.568838726982193776e+01,0.000000000000000000e+00
6.300000000000000000e+01,0.000000000000000000e+00,2.569573049484773364e+01,0.000000000000000000e+00
6.400000000000000000e+01,0.000000000000000000e+00,2.570396161326046780e+01,0.000000000000000000e+00
6.500000000000000000e+01,0.000000000000000000e+00,2.571482814512553716e+01,0.000000000000000000e+00
6.600000000000000000e+01,0.000000000000000000e+00,2.573657740426345697e+01,0.000000000000000000e+00
6.700000000000000000e+01,0.000000000000000000e+00,2.574139381971760443e+01,0.000000000000000000e+00
6.800000000000000000e+01,0.000000000000000000e+00,2.575884695017061787e+01,0.000000000000000000e+00
6.900000000000000000e+01,0.000000000000000000e+00,2.577669751134019904e+01,0.000000000000000000e+00
7.000000000000000000e+01,0.000000000000000000e+00,2.579182603140052166e+01,0.000000000000000000e+00
7.100000000000000000e+01,0.000000000000000000e+00,2.581224844630376580e+01,0.000000000000000000e+00
7.200000000000000000e+01,0.000000000000000000e+00,2.583319639787611877e+01,0.000000000000000000e+00
7.300000000000000000e+01,0.000000000000000000e+00,2.584489733587003713e+01,0.000000000000000000e+00
7.400000000000000000e+01,0.000000000000000000e+00,2.587190207240213979e+01,0.000000000000000000e+00
7.500000000000000000e+01,0.000000000000000000e+00,2.588996115388325236e+01,0.000000000000000000e+00
7.600000000000000000e+01,0.000000000000000000e+00,2.591562921803128106e+01,0.000000000000000000e+00
7.700000000000000000e+01,0.000000000000000000e+00,2.594255214050800618e+01,0.000000000000000000e+00
7.800000000000000000e+01,0.000000000000000000e+00,2.595783836085734819e+01,0.000000000000000000e+00
7.900000000000000000e+01,0.000000000000000000e+00,2.596960867359546299e+01,0.000000000000000000e+00
8.000000000000000000e+01,0.000000000000000000e+00,2.597809515694229177e+01,0.000000000000000000e+00
8.100000000000000000e+01,0.000000000000000000e+00,2.602345827357506636e+01,0.000000000000000000e+00
8.200000000000000000e+01,3.000000000000000000e+02,2.604176967580120561e+01,0.000000000000000000e+00
8.300000000000000000e+01,6.000000000000000000e+02,2.603922672467862753e+01,0.000000000000000000e+00
8.400000000000000000e+01,9.000000000000000000e+02,2.603706352790486278e+01,0.000000000000000000e+00
8.500000000000000000e+01,1.200000000000000000e+03,2.603429450257015176e+01,0.000000000000000000e+00
8.600000000000000000e+01,1.500000000000000000e+03,2.603549389302943595e+01,0.000000000000000000e+00
8.700000000000000000e+01,1.800000000000000000e+03,2.601439195566363694e+01,0.000000000000000000e+00
8.800000000000000000e+01,2.100000000000000000e+03,2.600479664420836912e+01,0.000000000000000000e+00
8.900000000000000000e+01,2.400000000000000000e+03,2.597050113391270543e+01,0.000000000000000000e+00
9.000000000000000000e+01,2.400000000000000000e+03,2.597259969076240438e+01,6.509039551019668579e-03
9.100000000000000000e+01,2.400000000000000000e+03,2.598944848442135225e+01,0.000000000000000000e+00
9.200000000000000000e+01,2.400000000000000000e+03,2.599799035602688235e+01,0.000000000000000000e+00
9.300000000000000000e+01,2.400000000000000000e+03,2.600928397495183830e+01,0.000000000000000000e+00
9.400000000000000000e+01,2.700000000000000000e+03,2.601649516178774846e+01,0.000000000000000000e+00
9.500000000000000000e+01,3.000000000000000000e+03,2.602186576357386727e+01,0.000000000000000000e+00
9.600000000000000000e+01,3.000000000000000000e+03,2.602765403511406817e+01,0.000000000000000000e+00
9.700000000000000000e+01,3.000000000000000000e+03,2.603470346148428760e+01,0.000000000000000000e+00
9.800000000000000000e+01,3.000000000000000000e+03,2.604748367934686470e+01,0.000000000000000000e+00
9.900000000000000000e+01,3.000000000000000000e+03,2.605185446614994405e+01,0.000000000000000000e+00
1.000000000000000000e+02,3.000000000000000000e+03,2.606742328478378568e+01,0.000000000000000000e+00
1.010000000000000000e+02,3.000000000000000000e+03,2.607209072337202826e+01,0.000000000000000000e+00
1.020000000000000000e+02,3.000000000000000000e+03,2.607421501400775199e+01,0.000000000000000000e+00
1.030000000000000000e+02,3.000000000000000000e+03,2.607613491094959812e+01,0.000000000000000000e+00
1.040000000000000000e+02,3.000000000000000000e+03,2.606736421312118424e+01,0.000000000000000000e+00
1.050000000000000000e+02,3.000000000000000000e+03,2.607963496785945168e+01,0.000000000000000000e+00
1.060000000000000000e+02,3.000000000000000000e+03,2.607797934802914597e+01,0.000000000000000000e+00
1.070000000000000000e+02,3.000000000000000000e+03,2.608559698315470499e+01,0.000000000000000000e+00
1.080000000000000000e+02,3.000000000000000000e+03,2.608565638585590563e+01,0.000000000000000000e+00
1.090000000000000000e+02,3.000000000000000000e+03,2.610197815955113043e+01,0.000000000000000000e+00
1.100000000000000000e+02,3.000000000000000000e+03,2.611899665385474734e+01,0.000000000000000000e+00
1.110000000000000000e+02,3.000000000000000000e+03,2.612891279053043547e+01,0.000000000000000000e+00
1.120000000000000000e+02,3.000000000000000000e+03,2.614706506652472129e+01,0.000000000000000000e+00
1.130000000000000000e+02,3.000000000000000000e+03,2.615192665449560394e+01,0.000000000000000000e+00
1.140000000000000000e+02,3.000000000000000000e+03,2.617450289774710015e+01,0.000000000000000000e+00
1.150000000000000000e+02,3.000000000000000000e+03,2.616748259505590823e+01,0.000000000000000000e+00
1.160000000000000000e+02,3.000000000000000000e+03,2.618519607161302787e+01,0.000000000000000000e+00
1.170000000000000000e+02,3.000000000000000000e+03,2.620022380825627906e+01,0.000000000000000000e+00
1.180000000000000000e+02,3.000000000000000000e+03,2.620152340486667697e+01,0.000000000000000000e+00
1.190000000000000000e+02,3.000000000000000000e+03,2.619830692783396131e+01,0.000000000000000000e+00
1.200000000000000000e+02,3.000000000000000000e+03,2.621739814987722639e+01,-8.896004146663472056e-06
1.210000000000000000e+02,3.000000000000000000e+03,2.623769044378808601e+01,0.000000000000000000e+00
1.220000000000000000e+02,3.000000000000000000e+03,2.625563622421816845e+01,0.000000000000000000e+00
1.230000000000000000e+02,3.000000000000000000e+03,2.627609120148457222e+01,0.000000000000000000e+00
1.240000000000000000e+02,3.000000000000000000e+03,2.629801097432975254e+01,0.000000000000000000e+00
1.250000000000000000e+02,3.000000000000000000e+03,2.628771323247272562e+01,0.000000000000000000e+00
1.260000000000000000e+02,3.000000000000000000e+03,2.630745213347086420e+01,0.000000000000000000e+00
1.270000000000000000e+02,3.000000000000000000e+03,2.631397894300215157e+01,0.000000000000000000e+00
1.280000000000000000e+02,3.000000000000000000e+03,2.633594370004029273e+01,0.000000000000000000e+00
1.290000000000000000e+02,3.000000000000000000e+03,2.632135633910618822e+01,0.000000000000000000e+00
1.300000000000000000e+02,3.000000000000000000e+03,2.632646359043165063e+01,0.000000000000000000e+00
1.310000000000000000e+02,3.000000000000000000e+03,2.634661128378901296e+01,0.000000000000000000e+00
1.320000000000000000e+02,3.000000000000000000e+03,2.634529357792996507e+01,0.000000000000000000e+00
1.330000000000000000e+02,3.000000000000000000e+03,2.636053867853467381e+01,0.000000000000000000e+00
1.340000000000000000e+02,3.000000000000000000e+03,2.635676220357876431e+01,0.000000000000000000e+00
1.350000000000000000e+02,3.000000000000000000e+03,2.637434913174094220e+01,0.000000000000000000e+00
1.360000000000000000e+02,3.000000000000000000e+03,2.639899215814426015e+01,0.000000000000000000e+00
1.370000000000000000e+02,3.000000000000000000e+03,2.641456919038758144e+01,0.000000000000000000e+00
1.380000000000000000e+02,3.000000000000000000e+03,2.642903483316422353e+01,0.000000000000000000e+00
1.390000000000000000e+02,3.000000000000000000e+03,2.644375982738629105e+01,0.000000000000000000e+00
1.400000000000000000e+02,3.000000000000000000e+03,2.646136116627938151e+01,0.000000000000000000e+00
1.410000000000000000e+02,3.000000000000000000e+03,2.645985424200940272e+01,0.000000000000000000e+00
1.420000000000000000e+02,3.000000000000000000e+03,2.646558423028526619e+01,0.000000000000000000e+00
1.430000000000000000e+02,3.000000000000000000e+03,2.647601550248727165e+01,0.000000000000000000e+00
1.440000000000000000e+02,3.000000000000000000e+03,2.649108281316754443e+01,0.000000000000000000e+00
1.450000000000000000e+02,3.000000000000000000e+03,2.648582798690370765e+01,0.000000000000000000e+00
1.460000000000000000e+02,3.000000000000000000e+03,2.649883219705384008e+01,0.000000000000000000e+00
1.470000000000000000e+02,3.000000000000000000e+03,2.650761973743635735e+01,0.000000000000000000e+00
1.480000000000000000e+02,3.000000000000000000e+03,2.650694619904275839e+01,0.000000000000000000e+00
1.490000000000000000e+02,3.000000000000000000e+03,2.652005303298319205e+01,0.000000000000000000e+00
1.500000000000000000e+02,3.000000000000000000e+03,2.652701702175664877e+01,-2.871474018320441246e-03
1.510000000000000000e+02,3.000000000000000000e+03,2.652696300039289667e+01,0.000000000000000000e+00
1.520000000000000000e+02,3.000000000000000000e+03,2.653859713505080364e+01,0.000000000000000000e+00
1.530000000000000000e+02,3.000000000000000000e+03,2.653461868011257252e+01,0.000000000000000000e+00
1.540000000000000000e+02,3.000000000000000000e+03,2.653658266255632725e+01,0.000000000000000000e+00
1.550000000000000000e+02,3.000000000000000000e+03,2.655444509893792926e+01,0.000000000000000000e+00
1.560000000000000000e+02,3.000000000000000000e+03,2.656098762628581156e+01,0.000000000000000000e+00
1.570000000000000000e+02,3.000000000000000000e+03,2.658750164512559877e+01,0.000000000000000000e+00
1.580000000000000000e+02,3.000000000000000000e+03,2.661865212285345450e+01,0.000000000000000000e+00
1.590000000000000000e+02,3.000000000000000000e+03,2.662548994481691267e+01,0.000000000000000000e+00
1.600000000000000000e+02,3.000000000000000000e+03,2.664728745207763438e+01,0.000000000000000000e+00
1.610000000000000000e+02,3.000000000000000000e+03,2.667122116874949711e+01,0.000000000000000000e+00
1.620000000000000000e+02,3.000000000000000000e+03,2.667819648581786041e+01,0.000000000000000000e+00
1.630000000000000000e+02,3.000000000000000000e+03,2.668538111160312098e+01,0.000000000000000000e+00
1.640000000000000000e+02,3.000000000000000000e+03,2.668505845628280682e+01,0.000000000000000000e+00
1.650000000000000000e+02,3.000000000000000000e+03,2.670197032992629715e+01,0.000000000000000000e+00
1.660000000000000000e+02,3.000000000000000000e+03,2.671237867788607190e+01,0.000000000000000000e+00
1.670000000000000000e+02,3.000000000000000000e+03,2.673525953246787168e+01,0.000000000000000000e+00
1.680000000000000000e+02,3.000000000000000000e+03,2.675057984428481817e+01,0.000000000000000000e+00
1.690000000000000000e+02,3.000000000000000000e+03,2.676565451625651448e+01,0.000000000000000000e+00
1.700000000000000000e+02,3.000000000000000000e+03,2.679280554268180836e+01,0.000000000000000000e+00
1.710000000000000000e+02,3.000000000000000000e+03,2.680419971516457522e+01,0.000000000000000000e+00
1.720000000000000000e+02,3.000000000000000000e+03,2.681276466071072306e+01,0.000000000000000000e+00
1.730000000000000000e+02,3.000000000000000000e+03,2.681484591582090360e+01,0.000000000000000000e+00
1.740000000000000000e+02,3.000000000000000000e+03,2.680895927857577732e+01,0.000000000000000000e+00
1.750000000000000000e+02,3.000000000000000000e+03,2.681649617686093379e+01,0.000000000000000000e+00
1.760000000000000000e+02,3.000000000000000000e+03,2.682765815843276869e+01,0.000000000000000000e+00
1.770000000000000000e+02,3.000000000000000000e+03,2.681870107685752558e+01,0.000000000000000000e+00
1.780000000000000000e+02,3.000000000000000000e+03,2.682148737010234640e+01,0.000000000000000000e+00
1.790000000000000000e+02,3.000000000000000000e+03,2.683224924705957193e+01,0.000000000000000000e+00
1.800000000000000000e+02,3.000000000000000000e+03,2.683088563896778211e+01,7.107085548341274261e-03
1.810000000000000000e+02,3.000000000000000000e+03,2.684989600205427962e+01,0.000000000000000000e+00
1.820000000000000000e+02,3.000000000000000000e+03,2.688056116798903616e+01,0.000000000000000000e+00
1.830000000000000000e+02,3.000000000000000000e+03,2.689381350993871678e+01,0.000000000000000000e+00
1.840000000000000000e+02,3.000000000000000000e+03,2.692348027459433979e+01,0.000000000000000000e+00
1.850000000000000000e+02,3.000000000000000000e+03,2.694567971539996520e+01,0.000000000000000000e+00
1.860000000000000000e+02,3.000000000000000000e+03,2.696442678158500073e+01,0.000000000000000000e+00
1.870000000000000000e+02,3.000000000000000000e+03,2.699875059776476505e+01,0.000000000000000000e+00
1.880000000000000000e+02,3.000000000000000000e+03,2.701307861577431169e+01,0.000000000000000000e+00
1.890000000000000000e+02,3.000000000000000000e+03,2.701886716232547414e+01,0.000000000000000000e+00
1.900000000000000000e+02,3.000000000000000000e+03,2.703910903478808336e+01,0.000000000000000000e+00
1.910000000000000000e+02,3.000000000000000000e+03,2.706028998132311969e+01,0.000000000000000000e+00
1.920000000000000000e+02,3.000000000000000000e+03,2.707637779657056498e+01,0.000000000000000000e+00
1.930000000000000000e+02,3.000000000000000000e+03,2.706509166383835918e+01,0.000000000000000000e+00
1.940000000000000000e+02,3.000000000000000000e+03,2.708473945103964198e+01,0.000000000000000000e+00
1.950000000000000000e+02,3.000000000000000000e+03,2.710503780004351171e+01,0.000000000000000000e+00
1.960000000000000000e+02,3.000000000000000000e+03,2.712440747219022796e+01,0.000000000000000000e+00
1.970000000000000000e+02,3.000000000000000000e+03,2.714847548280985734e+01,0.000000000000000000e+00
1.980000000000000000e+02,3.000000000000000000e+03,2.717996600884406533e+01,0.000000000000000000e+00
1.990000000000000000e+02,3.000000000000000000e+03,2.719337452590352200e+01,0.000000000000000000e+00
2.000000000000000000e+02,3.000000000000000000e+03,2.720656158935580038e+01,0.000000000000000000e+00
2.010000000000000000e+02,3.000000000000000000e+03,2.721870308447769915e+01,0.000000000000000000e+00
2.020000000000000000e+02,3.000000000000000000e+03,2.724947004029268172e+01,0.000000000000000000e+00
2.030000000000000000e+02,3.000000000000000000e+03,2.728105826441604975e+01,0.000000000000000000e+00
2.040000000000000000e+02,3.000000000000000000e+03,2.729453152975343855e+01,0.000000000000000000e+00
