Time(s),Control_Sequence,Temperature(℃),SOH_Loss,Target_Power
1.000000000000000000e+00,3.284680286385589787e-02,2.501520122317566575e+01,1.652651093900203705e-02,-2.788261043082935794e+04
2.000000000000000000e+00,5.646209744152871218e-02,2.501924592727489483e+01,0.000000000000000000e+00,-2.787545848603343620e+04
3.000000000000000000e+00,7.508050698015564239e-02,2.502571639114367841e+01,0.000000000000000000e+00,-2.786539865562380146e+04
4.000000000000000000e+00,9.026735801279030247e-02,2.502648143111065693e+01,0.000000000000000000e+00,-2.785228993060275752e+04
5.000000000000000000e+00,1.028781754730928866e-01,2.503618179979931924e+01,0.000000000000000000e+00,-2.783690970015669882e+04
6.000000000000000000e+00,1.120020565307333626e-01,2.504760876539182135e+01,0.000000000000000000e+00,-2.781929437897058961e+04
7.000000000000000000e+00,1.206122508212790212e-01,2.504239262381182485e+01,0.000000000000000000e+00,-2.779965691101235643e+04
8.000000000000000000e+00,1.282906662315424218e-01,2.504239581602771381e+01,0.000000000000000000e+00,-2.777738719764649795e+04
9.000000000000000000e+00,1.350110574997857027e-01,2.504029217428881537e+01,0.000000000000000000e+00,-2.775231425982072324e+04
1.000000000000000000e+01,1.408508092257905742e-01,2.505350007288197745e+01,0.000000000000000000e+00,-2.772457521022664514e+04
1.100000000000000000e+01,1.412214433233141275e-01,2.504714211441503480e+01,0.000000000000000000e+00,-2.769395814681084812e+04
1.200000000000000000e+01,1.422622583714333033e-01,2.505269424407852341e+01,0.000000000000000000e+00,-2.766146829508094015e+04
1.300000000000000000e+01,1.435719743093818446e-01,2.504693769414072335e+01,0.000000000000000000e+00,-2.762619214732723412e+04
1.400000000000000000e+01,1.449431120853858224e-01,2.506472524339374175e+01,0.000000000000000000e+00,-2.758912670432563391e+04
1.500000000000000000e+01,1.462740947001996417e-01,2.506705738690889973e+01,0.000000000000000000e+00,-2.754962929563179205e+04
1.600000000000000000e+01,1.483738629026752076e-01,2.506066545466780937e+01,0.000000000000000000e+00,-2.750740350179347297e+04
1.700000000000000000e+01,1.510111174823848268e-01,2.506029112172807771e+01,0.000000000000000000e+00,-2.746232603565362297e+04
1.800000000000000000e+01,1.537221556970364000e-01,2.505772236047944901e+01,0.000000000000000000e+00,-2.741533516812000744e+04
1.900000000000000000e+01,1.563047021297419015e-01,2.506168264736091800e+01,0.000000000000000000e+00,-2.736632520626198675e+04
2.000000000000000000e+01,1.586777569577383362e-01,2.506394588504836207e+01,0.000000000000000000e+00,-2.731511866770976121e+04
2.100000000000000000e+01,1.585100915331782434e-01,2.506258949175001050e+01,0.000000000000000000e+00,-2.726195089160040152e+04
2.200000000000000000e+01,1.591438451925259734e-01,2.509967314601132315e+01,0.000000000000000000e+00,-2.720649763191683087e+04
2.300000000000000000e+01,1.601404969827314728e-01,2.509625854675867274e+01,0.000000000000000000e+00,-2.714861797548677714e+04
2.400000000000000000e+01,1.612638442172080744e-01,2.510767071177876275e+01,0.000000000000000000e+00,-2.708840283683099915e+04
2.500000000000000000e+01,1.623943745653413928e-01,2.512561199057818229e+01,0.000000000000000000e+00,-2.702604591843319213e+04
2.600000000000000000e+01,1.695784189774190431e-01,2.514413503051302357e+01,0.000000000000000000e+00,-2.696149112494521250e+04
2.700000000000000000e+01,1.765459790082442026e-01,2.517073839751685327e+01,0.000000000000000000e+00,-2.689525577525904737e+04
2.800000000000000000e+01,1.830239915678260054e-01,2.516718709070430648e+01,0.000000000000000000e+00,-2.682725798186825705e+04
2.900000000000000000e+01,1.888463164281048989e-01,2.518926600164246921e+01,0.000000000000000000e+00,-2.675669044633149679e+04
3.000000000000000000e+01,1.939791087519066592e-01,2.518629621867941282e+01,0.000000000000000000e+00,-2.668479537286113919e+04
3.100000000000000000e+01,2.206513100279608453e-01,2.516874573860913600e+01,1.089808717370033264e-02,-2.661112268195034630e+04
3.200000000000000000e+01,2.449499831069457956e-01,2.518395769354904701e+01,0.000000000000000000e+00,-2.653500498632941526e+04
3.300000000000000000e+01,2.661495505707589526e-01,2.519306149777288084e+01,0.000000000000000000e+00,-2.645749676619671664e+04
3.400000000000000000e+01,2.844444296235319469e-01,2.520056806724652887e+01,0.000000000000000000e+00,-2.637789452799207356e+04
3.500000000000000000e+01,3.001889474014914350e-01,2.520031039773378367e+01,0.000000000000000000e+00,-2.629724737235115754e+04
3.600000000000000000e+01,2.970549444533359118e-01,2.519693293144080926e+01,0.000000000000000000e+00,-2.621521511838199876e+04
3.700000000000000000e+01,2.956732696507338165e-01,2.520645702338151040e+01,0.000000000000000000e+00,-2.613166360368951064e+04
3.800000000000000000e+01,2.952900079114856302e-01,2.520797879403101405e+01,0.000000000000000000e+00,-2.604642517067346125e+04
3.900000000000000000e+01,2.954537468734086403e-01,2.521085668006073988e+01,0.000000000000000000e+00,-2.595969915015194420e+04
4.000000000000000000e+01,2.959060736469046327e-01,2.522567239823472107e+01,0.000000000000000000e+00,-2.587128892587813971e+04
4.100000000000000000e+01,7.544415067401374131e+01,2.523651898138306748e+01,0.000000000000000000e+00,-2.578201997158183804e+04
4.200000000000000000e+01,1.513468341406875481e+02,2.523173164423721460e+01,0.000000000000000000e+00,-2.569121290010115627e+04
4.300000000000000000e+01,2.287629846595353911e+02,2.522984971713979974e+01,0.000000000000000000e+00,-2.559991019576312101e+04
